subset_size,num_items_total,top_k,num_hashes,bands,rows_per_band,seed,naive_time_seconds,naive_pairs_evaluated,sparse_exact_time_seconds,sparse_exact_nonzero_pairs,lsh_time_seconds,lsh_signature_seconds,lsh_candidate_seconds,lsh_verification_seconds,lsh_num_candidates,lsh_candidate_ratio,lsh_recall_at_k,speedup_lsh_vs_naive,speedup_lsh_vs_sparse_exact
500,10606,10,100,50,2,42,0.05063183297170326,124750,0.0022967500262893736,1633,0.03212770808022469,0.004179999988991767,0.021630083036143333,0.006317625055089593,72,0.0005771543086172345,0.06021409455842997,1.5759553356645526,0.07148813791989954
1000,10606,10,100,50,2,42,0.19934683397877961,499500,0.0077289160108193755,6522,0.07401204202324152,0.008137625001836568,0.04455141699872911,0.021323000022675842,297,0.0005945945945945946,0.0813935797961357,2.6934378315920537,0.10442781741371647
1500,10606,10,100,50,2,42,0.42082912498153746,1124250,0.016477625002153218,15410,0.13278362498385832,0.013187500007916242,0.07766329200239852,0.041932832973543555,677,0.0006021792305981765,0.09203435500168407,3.169284804754314,0.12409380301340847
2000,10606,10,100,50,2,42,0.7387589160352945,1999000,0.03878041700227186,27853,0.18642495898529887,0.017409624997526407,0.10077533399453387,0.0682399999932386,1204,0.0006023011505752877,0.11213697189271314,3.962768290556801,0.20802159331750214
3000,10606,10,100,50,2,42,1.650628792005591,4498500,0.05772195797180757,60143,0.31620308401761577,0.02685329201631248,0.15847924997797236,0.13087054202333093,2780,0.0006179837723685673,0.14345203905801263,5.220153994176838,0.18254710624072173
4000,10606,10,100,50,2,42,3.1336865419871174,7998000,0.11620091699296609,104575,0.5367407089215703,0.036332708958070725,0.27037250000284985,0.23003549996064976,5123,0.0006405351337834458,0.17144195487547817,5.8383619686372965,0.21649357885754406
5000,10606,10,100,50,2,42,4.637778166972566,12497500,0.16898970899637789,170730,0.6467581260367297,0.045489792013540864,0.31125712499488145,0.29001120902830735,7894,0.0006316463292658532,0.1928450162613267,7.1708077258996585,0.2612873378676048
6500,10606,10,100,50,2,42,7.668558957986534,21121750,0.2595738749951124,286457,0.9475636249990202,0.05733404099009931,0.4392762089846656,0.45095337502425537,13571,0.0006425130493448696,0.22190381260902067,8.092922475780412,0.27393820124256124
8500,10606,10,100,50,2,42,12.957024624978658,36120750,0.4023075830191374,492990,1.3511317078955472,0.07632466696668416,0.6337437909678556,0.6410632499610074,22850,0.0006326003751306382,0.24958233112551395,9.589756904720895,0.2977560075514406
10606,10606,10,100,50,2,42,20.277981082967017,56238315,0.6645616249879822,768843,1.8137660009670071,0.09903375001158565,0.9052013339824043,0.8095309169730172,35643,0.0006337849916022555,0.27175941273975845,11.180042559048871,0.3663987662320674
